GEO_ID,NAME,,P001001,,,,,,
id,Geographic Area Name,Zip Clean,Total,,,,,,Source
8710000US0691354,"ZCTA5 91354, California",91354,28722,,,,,,https://data.census.gov/cedsci/table?q=POPULATION&hidePreview=false&tid=DECENNIALSF12010.P1
8710000US0691355,"ZCTA5 91355, California",91355,32605,,,,,,
8710000US0691356,"ZCTA5 91356, California",91356,29458,,,,,,
8710000US0691360,"ZCTA5 91360, California",91360,42402,,,,,,
8710000US0691361,"ZCTA5 91361, California",91361,20438,,,,,,
8710000US0691362,"ZCTA5 91362, California",91362,36045,,,,,,
8710000US0691364,"ZCTA5 91364, California",91364,25851,,,,,,
8710000US0691367,"ZCTA5 91367, California",91367,39499,,,,,,
8710000US0691371,"ZCTA5 91371, California",91371,1,,,,,,
8710000US0691377,"ZCTA5 91377, California",91377,13811,,,,,,
8710000US0692225,"ZCTA5 92225, California",92225,24310,,,,,,
8710000US0692227,"ZCTA5 92227, California",92227,26234,,,,,,
8710000US0692230,"ZCTA5 92230, California",92230,2550,,,,,,
8710000US0692231,"ZCTA5 92231, California",92231,39073,,,,,,
8710000US0692233,"ZCTA5 92233, California",92233,8099,,,,,,
8710000US0692234,"ZCTA5 92234, California",92234,51151,,,,,,
8710000US0692236,"ZCTA5 92236, California",92236,41083,,,,,,
8710000US0692239,"ZCTA5 92239, California",92239,223,,,,,,
8710000US0692240,"ZCTA5 92240, California",92240,34722,,,,,,
8710000US0692241,"ZCTA5 92241, California",92241,8803,,,,,,
8710000US0692242,"ZCTA5 92242, California",92242,1539,,,,,,
8710000US0692243,"ZCTA5 92243, California",92243,48030,,,,,,
8710000US0692249,"ZCTA5 92249, California",92249,7334,,,,,,
8710000US0692250,"ZCTA5 92250, California",92250,8285,,,,,,
8710000US0692251,"ZCTA5 92251, California",92251,21583,,,,,,
8710000US0692252,"ZCTA5 92252, California",92252,9647,,,,,,
8710000US0692253,"ZCTA5 92253, California",92253,37262,,,,,,
8710000US0692254,"ZCTA5 92254, California",92254,12768,,,,,,
8710000US0692256,"ZCTA5 92256, California",92256,3588,,,,,,
8710000US0692257,"ZCTA5 92257, California",92257,2326,,,,,,
8710000US0692258,"ZCTA5 92258, California",92258,861,,,,,,
8710000US0692259,"ZCTA5 92259, California",92259,390,,,,,,
8710000US0692266,"ZCTA5 92266, California",92266,234,,,,,,
8710000US0692260,"ZCTA5 92260, California",92260,31753,,,,,,
8710000US0692262,"ZCTA5 92262, California",92262,26179,,,,,,
8710000US0692264,"ZCTA5 92264, California",92264,19383,,,,,,
8710000US0692267,"ZCTA5 92267, California",92267,126,,,,,,
8710000US0692268,"ZCTA5 92268, California",92268,574,,,,,,
8710000US0692270,"ZCTA5 92270, California",92270,17220,,,,,,
8710000US0692273,"ZCTA5 92273, California",92273,1823,,,,,,
8710000US0692274,"ZCTA5 92274, California",92274,19801,,,,,,
8710000US0692275,"ZCTA5 92275, California",92275,1506,,,,,,
8710000US0692276,"ZCTA5 92276, California",92276,7585,,,,,,
8710000US0692281,"ZCTA5 92281, California",92281,2432,,,,,,
8710000US0692277,"ZCTA5 92277, California",92277,23911,,,,,,
